LISTE DES ETABLISSEMENTS PRIVES D'ENSEIGNEMENT SUPERIEUR (EPES) BENEFICIANT D'UN AGREMENT
===========================================================================================

N° | Établissement | Contacts | Adresse
36 | Ecole Supérieure d'Informatique Appliquée (ESIA) | Email: diangaba01@gmail.com, info@esia.edu.sn, Tél. 33 832 60 61 | Villa n° 55 cité alizé Hann Maristes
37 | Ecole Supérieure Internationale de gestion des Affaires et du Développement (ESIG) | Email: uimesig@gmail.com, Tél. 33 822 61 54 | 9, Rue Amadou Assane Ndoye x Jean Jaurès
38 | Ecole Supérieure de Management et de Communication (ESMAC) | Non fourni | Parcelles Assainies Unité 26, n°796, Dakar
39 | Ecole supérieure de Management, de télécommunication d'Informatique et de Certification (ESMTIC/Privée) | Email: esmticsenegal@gmail.com, esmticdakar@gmail.com | Cité des Magistrats, foire Villa n°30 M
40 | Ecole Supérieure Privée Polytechnique (ESPP) | Non fourni | VDN Villa n°11 Cité Sonatel des Cadres, BP:23644
41 | Ecole Supérieure des Sciences Appliquées (ESSA) | Email: gueyesalli@yahoo.com, essaformations@gmail.com | 9744, Sacré Cœur 3, deux voies sacré cœur SC84XSC89
42 | Ecole supérieure des techniques de gestion Dakar (ESTG DAKAR) | Email: contact@estg.sn, admission@estg.sn, adiop@estg.sn, Tél. 338675757 | Sicap Liberté 4 lot N°5001 BP 15785, Dakar Fann Dakar Fann
43 | Ecole Supérieure de Commerce et de Gestion (ESUP DAKAR) | Email: ddaba82@gmail.com, diagne.dg@esupdakar.sn, Tél. 338670790 / 338670791 | Sacré cœur 3, n°9256-VDN, Dakar, BP: 45931
44 | Ecole Supérieure de Formation Professionnelle en Santé (ESUP SANTE) | Email: esupsante@netcourrier.com, gayeabdoulaye60@yahoo.fr, Tél. 77656 70 59 | Avenue des Grands Hommes X rue NDN 21 ndiolofene, Saint Louis
45 | Ecole des Techniques Internationales de Communication, de Commerce et des Affaires (ETICCA) | Email: yayeastou.fall@etica.sn, Tél. 338673166 | Sacré cœur 3, VDN, Dakar
46 | Groupe Consultance Conseil Formation Hautes Etudes (G2CFOR) | Email: g2cfor@gmail.com, Tél. 338644936 | HLM 1 (Sodida) (Rond-Point-Castors -Derrière la Sénélec Bourguiba), Dakar
47 | GROUPE AGIF Informatique | Email: oussouagif@yahoo.fr, degroupagif@gmail.com | 250 Bd Dial Diop Immeuble Yukokai, Grand Dakar
48 | Université Internationale de Dakar./ Hautes Etudes de Commerce (HEC) | Email: hecdakar@universiteinternationale.com, nabil.moukhabir@groupeheci.ma, Tél. +221 33 820 24 80 | Non fournie
49 | Ecole Hautes Etudes de Coaching et de Management (HECM-Dakar) | Email: managerhecm@gmail.com, Tél. 338254018 | Dakar, Liberté 04 Villa N°5015 Allées Khalifa Ababacar SY
50 | Hautes Études en technologie et Administration des Affaires (HETAA) | Email: hetaaschool@gmail.com | VDN nord Plaque n°82 face cimetière St Lazare
51 | Institut Africain de Commerce et de Marketing (IACOM) | Email: iacomgroupe@gmail.com, mama12diop@yahoo.fr, imma2gomis@gmail.com, Tél. 33 854 14 51 | PIKINE TALLY ICOTAF N°04 16632 Fann Dakar
52 | Institut Africain de Management (IAM) | Email: info@groupeiam.com, mmguirassy@groupeiam.com, Tél. +221338693636 | 7606, MERMOZ BP: 15391
53 | Institut d'Aménagement et de Management du Développement Territoriale (IAMDT) | Email: om_55@yahoo.fr | Darou, route de Khor, Immeuble 231, Saint Louis, Sénégal
54 | Institut Africain des Politiques Commerciales (IAPC) | Email: iapc.edu@gmail.com | Lot 24, route de Liberté VI Extension VDN BP: 5722
55 | Institut africain de Santé moderne (IASM) | Email: iasmsenegal2014@gmail.com, Tél. 338277383 | Liberté 6 extension Lot 26, face Camp Leclerc
56 | Institut africain de Santé sociale Mame Diarra Bousso/Privé (IASS-MDB) | Email: iassmdb@gmail.com, daf@iassmdb.com | Cité Fadia, villa 453
57 | Institut Communautaire Africain (ICA) | Email: icasenegal@gmail.com, secretariat@ica.edu.sn, Tél. 33 877 68 63 | Unité 11, Route de Boune Keur Massar derrière la Gendarmerie
58 | Institut Dakar Tech/Privé (IDT) | Email: contact@dakartech.sn, mouhamed-el-moctar.diop@dakartech.sn, Tél. 338201799 | Immeuble Ajdi Fatou Sokhna, liberté 6 extension Villa n 8018, bureaux n°2 et 4
59 | Institut Européen des Affaires (IEA-Dakar) | Email: cyrille.benoist@groupe-iea.com, Tél. 33 822 35 11 | 6, Mermoz Pyrotechnie
60 | Institut de Formation en Sciences Administratives et Commerciales (IFAC) | Email: infrastech5@hotmail.com, abdoulazizgueye@gmail.com, Tél. 33 820 08 56 | Ngor Vorage, route de l'aéroport
61 | Institut de Formation, d’Etudes, de Conseils et de services (IFEC) | Email: salla_dior48@yahoo.fr, Tél. 33 867 63 37 / 33 867 63 18 | Lot 304, Rue du Canal de Captage Dakar
62 | Institut de Formation en Management des Affaires (IFMA) | Email: ifma_sn@yahoo.fr, maximeadechina@yahoo.fr, maximeadechina@gmail.com, Tél. 33 86 79 121 | 105 zone de captage face station Elton
63 | Institut Géosciences de Dakar (IGDK) | Email: contact@igdk.sn, Tél. 33 860 57 81 | Mermoz Pyrotechnie, numéro 16
64 | Institut de Gestion et de Management-Afrique (IGM-Afrique) | Email: ayninadiop@yahoo.fr | 586, Avenue de la Gare; Louga
65 | Institut International des Sciences et de la Technologie (IIST) | Email: iistsenegal@gmail.com, Tél. (00 221) 33 864 48 80 | 28 Avenue des Ambassadeurs. Dakar-Fann. BP: 5729 Dakar. Sénégal
66 | Institut LATIMER Sciences- Technologies (ILST) | Email: baliounecam@gmail.com | Dakar, Sénégal
67 | Institut de Management (IMAN) | Email: info@iman-dakar.com, ladat@hotmail.com, akane1679@hotmail.fr, Tél. 338522485 / 338255714 / 338641333 | Point E avenue Cheikh Anta DIOP
68 | Institut Supérieur de Génie Civil et de Géomatique (IMB-IS) | Email: imbisup@gmail.com | Sacré Cœur 3, Derrière la Boulangerie jaune Dakar, Sénégal
69 | Institut de Management et de Communication Dakar (IMC DAKAR) | Email: contactimcdakarl@gmail.com, Tél. 338247007 | Rond-Point Liberté 6, Villa 5489
70 | Institut de Management et de Communication MBOUR (IMC MBOUR) | Email: imc.mbour@gmail.com, Tél. 33 957 47 70 | Croisement Saly Immeuble Electronic Corp, Mbour
71 | Institut des Métiers du Droit (IMD) | Email: romndiaye@gmail.com / contact@imdafrique.com, Tél. 338201573 | Dakar, Nord Foire, Prés de la Terminus 34
72 | International Marketing Management Training Center (IMTC) | Tél. 338351593 | Km1 Patte d'Oie Builders, Dakar
73 | Institut SUP'IMAX (SUP'IMAX) | Email: supimax@supimax.com, b.diouf@supimax.com, Tél. 33 889 11 88 / 33 822 11 88 | 3 rue Niombré X Aristide Le Dantec
74 | Institut CESAR | Email: institut_cesar@yahoo.com | Yoff Autoroute Seydina Limamoulaye, N°5, près de la cité BCEAO
75 | Institut Panafricain de Formation en Santé de la Reproduction et du Développement Humain (IPAF-SRDH) | Email: ipafsante@gmail.com, Tél. 338215836 | Cite Keur Gorgui, Villa AD 34, Sacré Coeur
76 | Institut Professionnel de l'Entreprise (IPE) | Email: ipe_sn@yahoo.fr, daoursalidiop@yahoo.fr, Tél. 338672964 | Cité SIPRES 2, Dakar Liberté BP: 47366
77 | Southern California International University Institute (ISCUI) | Email: infoscuidakar@gmail.com, Tél. 338208181 | Ngor virage, Route de l’aéroport DAKAR
78 | Institut Supérieur de Commerce et de Management (ISCOM) | Email: contacts@iscom.sn, babacar_sene@yahoo.fr, Tél. 33 864 46 85 / 33 864 46 87 | Avenue Bourguiba, Face Petite porte Sodida, Dakar, BP:47436 Dakar Liberté
79 | Institut Supérieur Dakar Banlieue (ISDB) | Email: isdbcontact@gmail.com | Parcelles Assainies U6, n°518, Dakar
80 | Institut Supérieur de Droit de Dakar (ISDD) | Email: gbabacarg1@gmail.com, Tél. 221 33 824 78 07 | Sicap Amitie, 3 VDN face Mermoz près du Restaurant « L’ENDROIT »
81 | Institut Supérieur d'Entrepreneurship et de Gestion Dakar (ISEG DAKAR) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, directiondesetudesiseg@gmail.com, Tél. 338642660 | Sacré Cœur 1, n°8469, Dakar
82 | Institut Supérieur d'Entrepreneurship et de Gestion Diourbel (ISEG DIOURBEL) | Non fourni | Quartier Cheikh Anta, Diourbel
83 | Institut Supérieur d'Entrepreneurship et de Gestion Fatick (ISEG FATICK) | Non fourni | Quartier Peulga Nord, Route Macky Sall
84 | Institut Supérieur d'Entrepreneurship et de Gestion Guédiawaye (ISEG GUEDIAWAYE) | Non fourni | Cité Fadia en face du Lycée des Parcelles Assainies, Guédiawaye
85 | Institut Supérieur d'Entrepreneurship et de Gestion Kaffrine (ISEG KAFFRINE) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com | Quartier Travaux
86 | Institut Supérieur d'Entrepreneurship et de Gestion Kaolack (ISEG KAOLACK) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com | HLM Sara, face Lycée Abdoulaye Niasse, Kaolack
87 | Institut Supérieur d'Entrepreneurship et de Gestion Kédougou (ISEG KEDOUGOU) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Route Nationale, Kédougou
88 | Institut Supérieur d'Entrepreneurship et de Gestion Keur Massar (ISEG KEUR MASSAR) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com | Route de Boune, PA Unité 05, Face Hôpital
89 | Institut Supérieur d'Entrepreneurship et de Gestion Kolda (ISEG KOLDA) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 779208667 | Quartier Doumassou, Kolda
90 | Institut Supérieur d'Entrepreneurship et de Gestion Louga (ISEG LOUGA) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Immeuble Kalla Ndiaye, 319 Av. Cheikh Ahmadou Bamba, Quartier Artillerie, Louga
91 | Institut Supérieur d'Entrepreneurship et de Gestion Mbäcké (ISEG MBACKE) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Route de Kaël, près pharmacie Senghor, Mbäcké
92 | Institut Supérieur d'Entrepreneurship et de Gestion Mbour (ISEG MBOUR) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com | Quartier Relais Route de l'Hôpital, Mbour Immeuble Mbour FM
93 | Institut Supérieur d'Entrepreneurship et de Gestion Pikine (ISEG PIKINE) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com | Pikine Tally Boumack, Dakar
94 | Institut Supérieur d'Entrepreneurship et de Gestion Podor (ISEG PODOR) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Immeuble Cyber Café Zeus Tall, près de la Gendarmerie, Podor
95 | Institut Supérieur d'Entrepreneurship et de Gestion Rufisque (ISEG RUFISQUE) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Rufisque Ouest, en face de la RN1, près de la gare Routière
96 | Institut Supérieur d'Entrepreneurship et de Gestion Saint Louis (ISEG SAINT LOUIS) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | RN1, près de la station Elton, Saint Louis
97 | Institut Supérieur d'Entrepreneurship et de Gestion Sédhiou (ISEG SEDHIOU) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Route de Marsassoum
98 | Institut Supérieur d'Entrepreneurship et de Gestion Tamba (ISEG TAMBA) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | Quartier Abattoirs, près ONG Tostan
99 | Institut Supérieur d'Entrepreneurship et de Gestion Thiès (ISEG THIES) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 301145182 | Quartier Grand Standing, Thiès
100 | Institut Supérieur d'Entrepreneurship et de Gestion Ziguinchor (ISEG ZIGUINCHOR) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 33 864 26 60 | Quartier Santhiaba Rural, face Maternité de Kandé
101 | Institut Supérieur pour l'Education et les Langues (ISEL) | Email: senegal@isel.sn, Tél. 33 864 38 70 / 33 825 53 25 | Sicap Liberte 1, 1050, Immeuble Cheikh Anta, Dakar
102 | Institut supérieur d'Études Paramédicales/PRIVE (ISEM/PRIVE) | Email: complexesanitaire@gmail.com | Grand Mbour
103 | Institut Supérieur d'Enseignement Professionnel et Technique (ISEPT) | Email: isept14@gmail.com, Tél. 33 842 92 43 | Liberté VI, villa n°6620, Dakar
104 | l'Institut supérieur des Etudes technologique Appliquées (ISETA) | Email: boyediallo@gmail.com, infos@iseta.edu.sn, Tél. 33 981 22 20 | BP 221, Tambacounda
105 | Institut supérieur de formation en gestion (ISFG) | Email: ernestsenouvo@gmail.com, ernest.senouvo@orange.sn, sofidec@orange.sn, Tél. 338255986 | 568, Avenue Bourguiba, Appt 20, Baobab, Dakar, BP:1658 Dakar, RP-RC:92-B-777
106 | Institut Supérieur à Filières Multiples (ISFM) | Email: thiamisfm@hotmail.com | Quartier Alwar-Pout, BP: 100, Pout
107 | Institut Supérieur Informatique Diourbel (ISI DIOURBEL) | Email: isidiourbel@groupeisi.com, andiaye@groupeisi.com, amboup@groupeisi.com, Tél. 33 971 37 37 | HLM, Route de Bambey, Lot n°311
108 | Institut Supérieur Informatique Kaffrine (ISI KAFFRINE) | Email: andiaye@groupeisi.com, amboup@groupeisi.com | Escale, Lot n°1, Kaffrine
109 | Institut Supérieur Informatique Kaolack (ISI KAOLACK) | Email: isikaolack@groupeisi.com, andiaye@groupeisi.com, amboup@groupeisi.com | Léona, Lot 187, Kaolack BP: 356
110 | Institut Supérieur d'Ingénierie Territoriale en Afrique (ISIT-Afrique) | Email: latyrdiouff@yahoo.fr, mboup43@yahoo.fr | Rond Point Liberté VI, Allée Grand Yoff Dakar
111 | Institut Supérieur Spécialisé en Logistique et en Gestion des Transports (ISLOG) | Email: guelemlogistics@yahoo.fr, islogcontact@gmail.com | Pattes d'oie Builders villa G 50 BP: 26 230 Daka
112 | Institut Supérieur de Management Kaolack (ISM KAOLACK) | Tél. 33 941 40 84, Email: kaolack@ism.edu.sn | 10 Kasnack zoo, BP:488
113 | Institut Supérieur de Management Mbour (ISM MBOUR) | Email: abdoulaye.beye@ism.edu.ism, Tél. 339574067 | Immeuble Daouda Sene, Route de Saly en face Senelec Saly, Mbour
114 | Institut supérieur de Mathématiques Appliquées (ISMAT) | Email: isma.dakar@gmail.com, Tél. 33 873 00 63 | Sacré cœur 3 Pyrotechnie
115 | Institut supérieur de management des Organisations (ISMO) | Email: gueyenar2003@yahoo.fr, ismosup1@gmail.com, Tél. 33 851 29 52 | Villa n°5 Cité Sabé-ICS, Thiaroye Azur, près de EDUCAZUR
116 | Institut Supérieur Polytechnique (ISP THIES) | Email: ispthies@gmail.com, Tél. 33 951 25 24 | 184, Boulevard de Nguinth, Thiès
117 | Institut Supérieur Privé de Management de Keur Massar (ISPM KEUR MASSAR) | Email: ispmsenegal@yahoo.fr, Tél. 33 878 98 98 / 33878 98 60 | cité Ainoumady face sedima keur massar, BP: 21 974, dakar-ponty
118 | Institut Santé Plus Privé (ISPP) | Email: ecole.sante.plus@gmail.com, Tél. 33 855 64 00 | Patte D' Oie Builders Villa 67/B
119 | Institut Supérieur des Sciences de l’Information et de la Communication (ISSIC) | Email: issic1@orange.sn | Point E, rue 2
120 | Institut Universitaire de l'Entreprise et du Développement (IUED) | Email: secretariat@iuedsenegal.org, dexiued@gmail.com, Tél. 33 824 29 68 | Cité Keur Gorgui, Lot n°41, Dakar Villa n°41 Mermoz Pyrotechnique cité Keur Gorgui BP: 16448, Dakar-Fann
121 | Institut Supérieur de Formation en Management Ingénierie et Technologie (MIT-CFPIA) | Email: ayarefall@mit.edu.sn, mit@mit.edu.srn, mit@mit-university.net, Tél. 338690999 | Avenue Birago Diop x G. Point E, Dakar-Fann BP:5344
122 | New Africa training: Les Ecoles du Développement (NAC/ ECOLES DU DÉVELOPPEMENT) | Email: pdgnac@gmail.com, Tél. 33 867 08 11 / 33 827 11 88 | NAC, 42 Bande verte Cité Mourtada 2
123 | National Institute of Information Technology (NIIT) | Email: info@niit.sn, debabrata.ghosh@niit.sn, Tél. 338241160 | Lot 36, Sicap Mermoz, VDN BP: 15158, Dakar, Fann
124 | Sup'Management Intelligentsia (SMI) | Email: mmc@mintelligentsia.sn | Cité Malick SY, derrière Station TITAN, Thiès
125 | Senegal Oil and Gaz Acamedy (SOGA) | Email: senegaloilandgasacademy.com, Tél. 338606060 | Almadies, Rond point Ngor
126 | Ecole Supérieure de Commerce Saint Louis (SUP DE CO/St Iouis/ Institut de Management du Développement (IMD) | Email: supdeco@supdeco.sn, abdoulsy@supdeco.edu.sn, Tél. 339 616 699 | 156, Rue Khalifa Ababacar SY
127 | Institut Supérieur des Nouvelles Technologies de Commerce et du Bâtiment (SUP TEC BATI) | Email: suptecbati@yahoo.fr, cndofndiaye@yahoo.fr, Tél. 00221338647631 | rue a x Ahmadou Bamba ex Ecole carter immeuble Dieng castors Dakar BP 17528 Dakar Liberté
128 | Institut Supérieur de Gestion d'Entreprenariat et d'Incubation (SUPGES) | Email: supdegestion@gmail.com | Parcelles Assanies, Villa n°47 Keur Massar
129 | Réseau Universitaire Euro-Africain Groupe Sup'Management Sénégal (Sup'Management) | Email: contact@supmanagement.sn, hayatqamar@yahoo.fr | LIBERTE VI, IMMEUBLE MOUSTAPHA BÂ N° 6787 - DAKAR BP: 45943 VDN-NAFA
130 | Ecole Supérieure de Technologie (SUPTECH) | Non fourni | Sicap Liberté 3 n°1977, les Allées Khalifa Ababacar SY
131 | Université Africaine Moderne (UAM) | Email: baywayal@yahoo.fr, wayalmoustapha2@gmail.com, Tél. 335832345 | Quartier Colobane, Quartier Amazout
132 | Université Cheikh Ahmadou Bamba MBACKE (UCAB) Dakar Centre Universitaire d'Enseignement Professionnelle/ Cheikh Mouhamadou Mourtada Mbacké de Dakar/ Université Cheikh Ahmadou Bamba/ Privé (CUNEP/UCAB) | Email: cecmefpucab@gmail.com, serdjigaligne@yahoo.fr, byankhoba@gmail.com, Tél. 338347446 | Fass mbao à Daka, BP: 20806 Thiaroye - Dakar
133 | Université Cheikh Ahmadoul Khadim (UCAK) | Email: ahmadgmbacke@yahoo.fr | Daroul Miname Touba
134 | Universite Euro Afrique (UEA) | Email: euroafrique01@gmail.com, Tél. +221338646064 | Amitié Liberté 2, Avenue Seydou Nourou Tall, en face Ecole IQRA, Dakar
135 | Université El Hadji Ibrahima Niasse Ecole de Medecine Saint Christopher Iba Mar Diop (UEIN/ SCIMD) | Email: a.diouf@stchrist.com, bdiatta9@outlook.fr, dcamara@stchris.edu, ibhdiop@gmail.com, nmansourndiaye@gmail.com, Tél. (+221) 33 825 94 57 | Point E Rue 2 x Canal IV (Rue de Kaolack), Dakar
136 | Université Internationale AL Mostafa (UIA/SENEGAL) | Email: almostafa.sn@hotmail.com, senegal@miu.ac.ir, Tél. 338642413 | Mermoz, Lot 33 Pyrotechnie Dakar
137 | Université Internationale des Métiers (UIM) | Email: uimesig@gmail.com, Tél. 33 822 61 54 | 99, rue Amadou Assane Ndoye
138 | Université Internationale des Diasporas Africaines (UNIDAF) | Email: isegcesmi@gmail.com, fallyankhoba@gmail.com, Tél. 338642660 | N° 8469, Sacré Cœur 1, Dakar
139 | Université de l'Atlantique (UNIVERSAT) | Tél. 338642021 | 6622 Av, Bourguiba près de la direction des impôts et domaines
140 | Université Nelson Mandela de DAKAR (UNM) | Non fourni | Grand Yoff Scat Urbam, n°19, Dakar, Sénégal
141 | Université Polytechnique de l'Ouest Africain (UPOA) | Non fourni | Route de Ngor Almadies, Dakar
142 | Institut Supérieur de formation aux nouveaux métiers de l'information et de la communication (UP'TECH) | Email: uptechformation@gmail.com | Sicap amitié 1, villa n°3031
143 | Université des Sciences et Technologies Tamaro Touré (US3T) | Email: sos-senegal@sos-senegal.org, tamarotoure@yahoo.fr, Tél. 33 864 79 97 | Cité Keur Gorgui, BP 16737 Dakar Fann
144 | Institut d'Excellence de Sénégal (IDEX) | Non fourni | Liberté 6 extension villa n°64
145 | Institut supérieur de gestion et de communication (ISGCO) | Non fourni | Sicap sacré cœur 3 extension VDN
146 | International Management Academy Group (IMAG) | Tél. 338201877 | Villa n°393 Cité Djily Mbaye/Dakar
147 | Institut supérieur de formation professionnelle HEKIMA SANTÉ (HEKIMA SANTE) | Tél. 338275057 | Liberté 6 extension villa n°006
148 | Ecole supérieure de télécommunications et des technologies numériques (SUPTELECOM) | Email: Babacar.sall@orange.sn | Sacré cœur 3 VDN extension n° 10420-10421
149 | Institut des hautes études en énergie (IHEE) | Email: Contact@ihee.edu.sn | Ouest foire zone 18
150 | Colombe Academy of Technology (CAT) | Tél. 33822009 | 68, rue Vincens, Angle rue Sandiniéri
151 | Montpellier Business School (MBS) | Tél. 338683117 | Almadies route du Méridien
